CO_PAIS;CO_PAIS_ISON3;CO_PAIS_ISOA3;NO_PAIS;NO_PAIS_ING
840;898;ZZZ;Uniao das Republicas Socialistas Sovieticas;Union of Soviet Socialist Republics
845;858;URY;Uruguai;Uruguay
847;860;UZB;Uzbequistao;Uzbekistan
848;336;VAT;Vaticano;Vatican City
850;862;VEN;Venezuela;Venezuela
858;704;VNM;Vietna;Vietnam
863;92;VGB;Virgens, Ilhas (Britanicas);Virgin Islands (UK)
866;850;VIR;Virgens, Ilhas (Americanas);Virgin Islands (USA)
870;242;FJI;Fiji;Fiji
873;840;USA;Wake, Ilha;Wake Island
875;876;WLF;Wallis e Futuna, Ilhas;Wallis and Futuna
888;180;COD;Congo, Republica Democratica;Democratic Republic of the Congo
890;894;ZMB;Zambia;Zambia
895;592;PCZ;Zona do Canal do Panama;Panama Canal Zone
990;898;ZZZ;Provisao de Navios e Aeronaves;Planes and ships provisions
994;898;ZZZ;A Designar;To define
995;898;ZZZ;Bancos Centrais;Central Banks
997;898;ZZZ;Organizaçoes Internacionais;International Organizations
998;898;ZZZ;Sem informaçao;Sem informação
999;898;ZZZ;Nao Declarados;Not declared
