"CO_NCM","CO_UNID","CO_SH6","CO_PPE","CO_PPI","CO_FAT_AGREG","CO_CUCI_ITEM","CO_CGCE_N3","CO_SIIT","CO_ISIC_CLASSE","CO_EXP_SUBSET","NO_NCM_POR","NO_NCM_ING"
38249951,10,382499,3990,3639,3,59899,240,2000,2029,1499,"Antiespumantes contendo fosfato de tributila em soluçao de alcool isopropilico","Defoamers containing tributyl phosphate in isopropyl alcohol solution"
38249952,10,382499,3990,3639,3,59899,240,2000,2029,1499,"Misturas de polietilenoglicois","Mixtures of polyethylene glycol"
38249953,10,382499,3990,3639,3,59899,240,2000,2029,1499,"Polipropilenoglicol liquido","Polyethylene glycol liquid"
38086100,10,380861,3293,3293,3,5911,322,2000,2021,1499,"Mercadorias mencionadas na Nota de subposiçoes 2 do presente Capitulo, acondicionadas em embalagens com um conteúdo de peso liquido nao superior a 300 g","Goods specified in Note of Subheadings 2 of this Chapter, packed in packages with a net weight content not exceeding 300 g"
38086210,10,380862,3293,3293,3,5911,240,2000,2021,1499,"Mercadorias mencionadas na Nota de subposiçoes 2 do presente Capitulo, acondicionadas em embalagens com um conteúdo de peso liquido superior a 300 g, mas nao superior a 7,5 kg, a base de alfa-cipermetrina (ISO)","Goods specified in Note of Subheadings 2 of this Chapter, packed in packages with a net weight content greater than 300 g but not exceeding 7.5 kg, based on alpha-cypermethrin (ISO)"
38086290,10,380862,3293,3293,3,5911,322,2000,2021,1499,"Outras mercadorias mencionadas na Nota de subposiçoes 2 do presente Capitulo, acondicionadas em embalagens com um conteúdo de peso liquido nao superior a 300 g","Other goods specified in Note of Subheadings 2 of this Chapter, packed in packages with a net weight content not exceeding 300 g"
38086910,10,380869,3293,3293,3,5911,240,2000,2021,1499,"Outras mercadorias mencionadas na Nota de subposiçoes 2 do presente Capitulo, a base de alfa-cipermetrina (ISO)","Other goods specified in Note of Subheadings 2 of this Chapter, based on alpha-cypermethrin (ISO)"
38086990,10,380869,3293,3293,3,5911,240,2000,2021,1499,"Outras mercadorias mencionadas na Nota de subposiçoes 2 do presente Capitulo,","Other goods specified in Note of Subheadings 2 of this Chapter"
38123100,10,381231,3990,3990,3,59893,240,2000,2029,1499,"Misturas de oligomeros de 2,2,4-trimetil-1,2-diidroquinolina (TMQ)","Mixtures of oligomers of 2,2,4-trimethyl-1,2-diidroquinolina (TMQ)"
38123911,10,381239,3990,3990,3,59893,240,2000,2029,1499,"Preparaçoes antioxidantes e outros estabilizadores compostos, para borracha, que contenham derivados N-substituidos de p-fenilenodiamina","Antioxidants preparations and other compounds stabilizers, for rubber, containing derivatives N-substituted of p-phenylenediamine"
38123912,10,381239,3990,3990,3,59893,240,2000,2029,1499,"Preparaçoes antioxidantes e outros estabilizadores compostos, para borracha, que contenham fosfitos de alquila, de arila ou de alquil-arila","Antioxidants preparations and other compounds stabilizers, for rubber, containing alkyl phosphate, of aryl or alkyl-aryl"
38123919,10,381239,3990,3990,3,59893,240,2000,2029,1499,"Preparaçoes antioxidantes e outros estabilizadores compostos, para borracha","Antioxidants preparations and other compounds stabilizers, for rubber"
38123921,10,381239,3990,3990,3,59893,240,2000,2029,1499,"Preparaçoes antioxidantes e outros estabilizadores compostos, para plastico, que contenham derivados N-substituidos de p-fenilenodiamina","Antioxidants preparations and other compounds stabilizers, for plastic, containing derivatives N-substituted of p-phenylenediamine"
38123929,10,381239,3990,3990,3,59893,240,2000,2029,1499,"Outras preparaçoes antioxidantes e outros estabilizadores compostos, para borracha ou plastico","Other anti-oxidising preparations and other compound stabilizers for rubber or plastics"
38248400,10,382484,3990,3639,3,59899,240,2000,2029,1499,"Mercadorias mencionadas na Nota de subposiçoes 3 do presente Capitulo, que contenham aldrin, canfecloro, clordano, clordecona , DDT, 1,1,1-tricloro-2,2-bis(p-clorofenil)etano), dieldrin, endossulfan, endrin, heptacloro ou mirex","Goods containing aldrin, camphechlor, chlordane, chlordecone, DDT, 1,1,1-trichloro-2,2-bis (p-chlorophenyl) ethane), dieldrin, endosulfan, endrin, heptachlor or mirex (ISO)"
38248500,10,382485,3990,3639,3,59899,240,2000,2029,1499,"Mercadorias mencionadas na Nota de subposiçoes 3 do presente Capitulo, que contenham 1,2,3,4,5,6-hexaclorocicloexano (HCH (ISO)), incluindo o lindano (ISO, DCI)","Goods containing 1,2,3,4,5,6-hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, DCI)"
29398000,10,293980,3329,3329,3,54149,240,1000,2100,1402,"Outros alcaloides, naturais ou reproduzidos por sintese, seus sais, eteres, esteres e outros derivados","Other alkaloids, natural or produced by synthesis, and their salts, esters and other derivatives"
30021100,10,300211,3990,3221,3,54163,322,1000,2100,1406,"Estojos de diagnostico da malaria (paludismo)","Diagnostic kits to detect malaria"
30021211,10,300212,3990,3990,3,54163,322,1000,2100,1406,"Antiofidicos e outros antivenenosos","Antiophidic and other anti poisons"
30021212,10,300212,3990,3990,3,54163,322,1000,2100,1406,"Antitetanico","Antitetanus"
30021213,10,300212,3990,3990,3,54163,322,1000,2100,1406,"Anticatarral","Anticatarrhal"
30021214,10,300212,3990,3990,3,54163,322,1000,2100,1406,"Antipiogenico","Antipiogenic"
30021215,10,300212,3990,3990,3,54163,322,1000,2100,1406,"Antidifterico","Antidiphtherial"
30021216,10,300212,3990,3990,3,54163,322,1000,2100,1406,"Polivalentes","Polyvalents"
30021219,10,300212,3990,3990,3,54163,322,1000,2100,1406,"Outros antissoros e outras fraçoes do sangue","Other anti serum and other blood fractions"
30021221,10,300212,3990,3221,3,54163,322,1000,2100,1406,"Imunoglobulina anti-Rh","Anti-Rh immunoglobulin"
30021222,10,300212,3990,3221,3,54163,322,1000,2100,1406,"Outras imunoglobulinas sericas","Other serum immunoglobulins"
30021223,10,300212,3990,3221,3,54163,322,1000,2100,1406,"Concentrado de fator VIII","Factor VIII concentrate"
30021224,10,300212,3990,3221,3,54163,322,1000,2100,1406,"Soroalbumina, em forma de gel, para preparaçao de reagentes de diagnostico","Serum albumin, in gel form, for preparing diagnostic reagents"
30021229,10,300212,3990,3221,3,54163,322,1000,2100,1406,"Outras fraçoes do sangue, exceto as preparadas como medicamentos","Other fractions of blood, except those prepared as medicines"
30021231,10,300212,3338,3338,3,54163,322,1000,2100,1406,"Soroalbumina, exceto a humana","Serum albumin, except human"
30021232,10,300212,3338,3338,3,54163,322,1000,2100,1406,"Plasmina (fibrinolisina)","Plasmin (fibrinolysin)"
30021233,10,300212,3338,3338,3,54163,322,1000,2100,1406,"Uroquinase","Urokinase"
30021234,10,300212,3338,3338,3,54163,322,1000,2100,1406,"Imunoglobulina e cloridrato de histamina, associados","Immunoglobulin and histamine chloridrate, associated"
30021235,10,300212,3338,3338,3,54163,322,1000,2100,1406,"Imunoglobulina G, liofilizada ou em soluçao","Immunoglobulin G, lyophilized, or in solution"
30021236,10,300212,3338,3338,3,54163,322,1000,2100,1406,"Soroalbumina humana","Human serum albumin"
30021239,10,300212,3338,3338,3,54163,322,1000,2100,1406,"Outras fraçoes do sangue, preparadas como medicamentos","Other fractions of blood, prepared as medicines"
30021300,10,300213,3990,3221,3,54163,322,1000,2100,1406,"Produtos imunologicos, nao misturados, nao apresentados em doses nem acondicionados para venda a retalho","Immunological products, unmixed, not in measured doses or put up for retail sale"
30021410,10,300214,3990,3221,3,54163,322,1000,2100,1406,"Anticorpos monoclonais em soluçao tampao, contendo albumina bovina, nao apresentados em doses nem acondicionados para venda a retalho","Monoclonal antibodies in buffer solution containing bovine albumin, not in measured doses or put up for retail sale"
30021490,10,300214,3338,3338,3,54163,322,1000,2100,1406,"Outros produtos imunologicos, misturados, nao apresentados em doses nem acondicionados para venda a retalho","Other immunological products, mixed, not in measured doses or put up for retail sale"
30021510,10,300215,3338,3338,3,54163,322,1000,2100,1406,"Interferon beta; peg interferon alfa-2-a","Interferon beta; peginterferon alfa-2-a"
30021520,10,300215,3338,3338,3,54163,322,1000,2100,1406,"Basiliximab (DCI); bevacizumab (DCI); daclizumab (DCI); etanercept (DCI); gemtuzumab ozogamicin (DCI); oprelvekin (DCI); rituximab (DCI); trastuzumab (DCI)","Basiliximab (DCI); bevacizumab (DCI); daclizumab (DCI); etanercept (DCI); gemtuzumab ozogamicin (DCI); oprelvekin (DCI); rituximab (DCI); trastuzumab (DCI)"
30021590,10,300215,3338,3338,3,54163,322,1000,2100,1406,"Outros produtos imunologicos, apresentados em doses ou acondicionados para venda a retalho","Other immunological products, in measured doses or put up for retail sale"
30021900,10,300219,3990,3221,3,54163,322,1000,2100,1406,"Outros antissoros, outras fraçoes do sangue e produtos imunologicos, mesmo modificados ou obtidos por via biotecnologica","Other anti serums, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes"
30034100,10,300341,3338,3338,3,54231,322,1000,2100,1406,"Medicamentos que contenham efedrina ou seus sais, preparados para fins terapeuticos ou profilaticos, mas nao apresentados em doses nem acondicionados para venda a retalho","Medications containing ephedrine or its salts, for therapeutic or prophylactic uses, not in measured doses or put up for retail sale"
30034200,10,300342,3338,3338,3,54231,322,1000,2100,1406,"Medicamentos que contenham pseudoefedrina (DCI) ou seus sais, preparados para fins terapeuticos ou profilaticos, mas nao apresentados em doses nem acondicionados para venda a retalho","Medicines containing pseudoephedrine (DCI) or salts thereof, for therapeutic or prophylactic uses, not in measured doses or put up for retail sale"
28531000,10,285310,3990,3990,3,52499,240,2000,2011,1401,"Cloreto de cianogenio (clorociano)","Cyanogen chloride"
28539011,10,285390,3990,3990,3,52499,240,2000,2011,1401,"Fosfetos, de constituiçao quimica definida ou nao, de aluminio","Phosphide, chemically defined or not, aluminum"
28539012,10,285390,3990,3990,3,52499,240,2000,2011,1401,"Fosfetos, de constituiçao quimica definida ou nao, de magnesio","Phosphide, chemically defined or not, magnesium"
28539013,10,285390,3990,3990,3,52499,240,2000,2011,1401,"Fosfetos, de constituiçao quimica definida ou nao, de cobre (fosfetos de cobre), contendo mais de 15 %, em peso, de fosforo","Phosphide, chemically defined or not, copper (copper phosphite), containing over 15%, by weight, of phosphorus"
28539019,10,285390,3990,3990,3,52499,240,2000,2011,1401,"Outros fosfetos, de constituiçao quimica definida ou nao","Other phosphide, chemically defined or not"
28539020,10,285390,3990,3990,3,52499,240,2000,2011,1401,"Cianamida e seus derivados metalicos","Cyanamide and its metal derivatives"
28539030,10,285390,3990,3990,3,52499,240,2000,2011,1401,"Sulfocloretos de fosforo","Sulphate chlorides of phosphorus"
28539090,10,285390,3990,3990,3,52499,240,2000,2011,1401,"Outros produtos da Posiçao 28.53","Other products of Heading 28.53"
29038300,10,290383,3710,3710,3,51139,240,2000,2011,1402,"Mirex (ISO)","Mirex (ISO)"
29038900,10,290389,3710,3710,3,51139,240,2000,2011,1402,"Outros derivados halogenados dos hidrocarbonetos ciclanicos, ciclenicos ou cicloterpenicos","Other halogenated derivatives of hydrocarbons cyclanes, cyclenes or cycle terpheniques"
29039300,10,290393,3710,3710,3,51139,240,2000,2011,1402,"Pentaclorobenzeno (ISO)","Pentachlorobenzene (ISO)"
29039400,10,290394,3710,3710,3,51139,240,2000,2011,1402,"Hexabromobifenilas","Hexabromobiphenyl"
29043100,10,290431,3710,3710,3,5114,240,2000,2011,1402,"Acido perfluoroctano sulfonico","Perfluorooctane sulfonic acid"
29043200,10,290432,3710,3710,3,5114,240,2000,2011,1402,"Perfluoroctanossulfonato de amonio","Perfluorooctane sulfonate of ammonium"
29043300,10,290433,3710,3710,3,5114,240,2000,2011,1402,"Perfluoroctanossulfonato de litio","Perfluorooctane sulphonate of lithium"
29043400,10,290434,3710,3710,3,5114,240,2000,2011,1402,"Perfluoroctanossulfonato de potassio","Perfluorooctane sulphonate of potassium"
29043500,10,290435,3710,3710,3,5114,240,2000,2011,1402,"Outros sais do acido perfluoroctano sulfonico","Other salts of perfluorooctane sulfonic acid"
29043600,10,290436,3710,3710,3,5114,240,2000,2011,1402,"Fluoreto de perfluoroctanossulfonila","Perfluoroctanoyl sulfonyl fluoride"
29049100,10,290491,3710,3710,3,5114,240,2000,2011,1402,"Tricloronitrometano (cloropicrina)","Trichloronitromethane (chloropicrin)"
29049911,10,290499,3710,3710,3,5114,240,2000,2011,1402,"1-Cloro-4-nitrobenzeno","1-Chloro-4-nitrobenzene"
29049912,10,290499,3710,3710,3,5114,240,2000,2011,1402,"1-Cloro-2,4-dinitrobenzeno","1-Chloro-2,4-dinitrobenzene"
29049913,10,290499,3710,3710,3,5114,240,2000,2011,1402,"2-Cloro-1,3-dinitrobenzeno","2-Chloro-1,3-dinitrobenzene"
29049914,10,290499,3710,3710,3,5114,240,2000,2011,1402,"4-Cloro-alfa,alfa,alfa-trifluor-3,5-dinitrotolueno","4-chloro-alpha,alpha,alpha-trifluoro-3,5-dinitrotoluene"
29049915,10,290499,3710,3710,3,5114,240,2000,2011,1402,"o-Nitroclorobenzeno; m-nitroclorobenzeno","o-Nitrochlorobenzene; m-nitrochlorobenzene"
29049916,10,290499,3710,3710,3,5114,240,2000,2011,1402,"1,2-Dicloro-4-nitrobenzeno","1,2-Dichloro-4-nitrobenzene"
29049919,10,290499,3710,3710,3,5114,240,2000,2011,1402,"Outros derivados nitroalogenados","Other derivatives nitrogen halogenated"
29049921,10,290499,3710,3710,3,5114,240,2000,2011,1402,"Acidos dinitroestilbenodissulfonicos","Dinitroestilbenodisulfonic acids"
29049929,10,290499,3710,3710,3,5114,240,2000,2011,1402,"Outros derivados nitrossulfonados","Other nitrosulphonated derivatives"
29049930,10,290499,3710,3710,3,5114,240,2000,2011,1402,"Cloreto de p-toluenossulfonila (cloreto de tosila)","P-toluenesulfonyl chloride (tosyl chloride)"
29049940,10,290499,3710,3710,3,5114,240,2000,2011,1402,"Cloreto de o-toluenossulfonila","Chloride of o-toluenesulfonyl"
29049990,10,290499,3710,3710,3,5114,240,2000,2011,1402,"Outros derivados sulfonados, nitrados ou nitrosados dos hidrocarbonetos, mesmo halogenados","Other derivatives sulphonated, nitrated or nitrosated of hydrocarbons, whether or not halogenated"
29105000,10,291050,3990,3990,3,51615,240,2000,2011,1402,"Endrin (ISO)","Endrin (ISO)"
29146200,10,291462,3101,3101,3,51629,240,2000,2011,1402,"Coenzima Q10 (ubidecarenona (DCI))","Coenzyme Q10 (ubidecarenone (DCI))"
29147100,10,291471,3101,3101,3,51629,240,2000,2011,1402,"Clordecona (ISO)","Chlordecone (ISO)"
29147911,10,291479,3101,3101,3,51629,240,2000,2011,1402,"1-Cloro-5-hexanona","1-Chloro-5-hexanone"
29147919,10,291479,3101,3101,3,51629,240,2000,2011,1402,"Outros derivados halogenados","Other halogenated derivatives"
29147921,10,291479,3101,3101,3,51629,240,2000,2011,1402,"Bissulfito sodico de menadiona","Menadione sodium bisulfite"
29147922,10,291479,3101,3101,3,51629,240,2000,2011,1402,"Acido 2-hidroxi-4-metoxibenzofenona-5-sulfonico (sulisobenzona)","Acid 2-hidroxi-4-metoxibenzofenona-5-sulfônico (sulisobenzona)"
29147929,10,291479,3101,3101,3,51629,240,2000,2011,1402,"Outros derivados sulfonados","Other sulfonated derivatives"
29147990,10,291479,3101,3101,3,51629,240,2000,2011,1402,"Outros derivados halogenados, nitrados ou nitrosados","Other halogenated, nitrated or nitrosated derivatives"
29202100,10,292021,3990,3990,3,51639,240,2000,2011,1402,"Fosfito de dimetila","Dimethyl phosphite"
29202200,10,292022,3990,3990,3,51639,240,2000,2011,1402,"Fosfito de dietila","Dimethyl diethyl"
29202300,10,292023,3990,3990,3,51639,240,2000,2011,1402,"Fosfito de trimetila","Trimethyl phosphite"
29202400,10,292024,3990,3990,3,51639,240,2000,2011,1402,"Fosfito de trietila","Phosphite of triethyle"
29202910,10,292029,3990,3990,3,51639,240,2000,2011,1402,"Fosfito de alquila de C3 a C13 ou de alquil-arila","Phosphite of alkyl of C3 to C13 or of alkyl-aril"
29202920,10,292029,3990,3990,3,51639,240,2000,2011,1402,"Fosfito de difenila","Diphenyl phosphite"
29202930,10,292029,3990,3990,3,51639,240,2000,2011,1402,"Outros fosfitos, de arila","Other phosphites, of arila"
1019000,11,10190,1990,1990,1,15,210,9000,142,8099,"Animais especie asinina/muar, exceto reprodutores de raça pura","Asses, except pure-bred breeding"
1019010,11,10190,1990,1990,1,15,210,9000,142,8099,"Cavalos vivos, exceto reprodutores raça pura","Live horses, except pure-bred breeding"
1019090,11,10190,1990,1990,1,15,210,9000,142,8099,"Animais especie asinina/muar, exceto reprodutores de raça pura pura","Asses/mules/hinnies, except pure-bred breeding"
1021010,11,10210,1084,1084,1,111,110,9000,141,8099,"Bovinos reprodutores de raça pura, prenhe ou cria ao pe","Pure-bred breeding bovine, pregnant or lactating"
1021090,11,10210,1084,1084,1,111,110,9000,141,8099,"Outros bovinos reprodutores de raça pura","Other pure-bred breeding bovines"
1022110,11,10221,1084,1084,1,111,110,9000,141,8099,"Bovinos reprodutores raça pura, prenhe ou com cria ao pe","Purebred breeding cattle, pregnant or lactating"
1022190,11,10221,1084,1084,1,111,110,9000,141,8099,"Outros bovinos reprodutores de raça pura","Other pure-bred cattle, for breeding"
1022911,11,10229,1084,1084,1,119,210,9000,141,8099,"Outros bovinos para reproduçao, prenhe ou com cria ao pe","Other bovine animals for breeding,pregnant or lactating"
1022919,11,10229,1084,1084,1,119,210,9000,141,8099,"Outros bovinos para reproduçao","Other bovine animals for breeding"
1022990,11,10229,1084,1084,1,119,210,9000,141,8099,"Outros bovinos vivos","Other live catlle"
1023110,11,10231,1990,1990,1,111,110,9000,141,8099,"Búfalos reprodutores de raça pura, prenhe ou com cria ao pe","Pure-bred breeding buffalo, pregnant or lactating"
1023190,11,10231,1084,1084,1,111,110,9000,141,8099,"Outros búfalos reprodutores de raça pura","Other pure-bred breeding buffalo"
1023911,11,10239,1084,1084,1,119,210,9000,141,8099,"Outros búfalos para reproduçao, exceto raça pura, prenhe ou com cria ao pe","Other buffalo for breeding, ex. pure-bred or pregnant"
1023919,11,10239,1084,1084,1,119,210,9000,141,8099,"Outros búfalos para reproduçao, exceto reprodutores de raça pura","Other buffalo for breeding, except pure-bred breeding"
1023990,11,10239,1084,1084,1,119,210,9000,141,8099,"Outros búfalos","Other buffalos"
1029000,11,10290,1084,1084,1,119,110,9000,141,8099,"Outros animais vivos da especie bovina","Other live animals of bovine species"
1029011,11,10290,1084,1084,1,119,210,9000,141,8099,"Outros bovinos para reproduçao, prenhe ou com cria ao pe","Other pure-bred breeding bovines pregnant/lactanting"
85286200,11,852862,3145,3145,3,7615,110,1000,2620,902,"Projetores, capazes de serem conectados diretamente a uma maquina automatica para processamento de dados da posiçao 84.71 e concebidos para serem utilizados com esta maquina","Projectors, capable of being directly connected to an automatic data processing machine of Heading 8471 and designed for use with this machine"
85395000,11,853950,3990,3990,3,77878,110,2000,2790,1199,"Lampadas e tubos de diodos emissores de luz (LED)","Lamps and light emitting diodes tubes (LED)"
87019100,11,870191,3460,3460,3,72249,110,2000,2821,1009,"Outros tratores, com uma potencia de motor nao superior a 18 kW","Other tractors with an engine power not exceeding 18 kW"
87019200,11,870192,3460,3460,3,72249,110,2000,2821,1009,"Outros tratores, com uma potencia de motor superior a 18 kW, mas nao superior a 37 kW","Other tractors with an engine power exceeding 18 kW but not exceeding 37 kW"
87019300,11,870193,3460,3460,3,72249,110,2000,2821,1009,"Outros tratores, com uma potencia de motor superior a 37 kW, mas nao superior a 75 kW","Other tractors with an engine power exceeding 37 kW but not exceeding 75 kW"
87019410,11,870194,3460,3460,3,72249,110,2000,2821,1009,"Tratores especialmente concebidos para arrastar troncos (log skidders), com uma potencia de motor superior a 75 kW, mas nao superior a 130 kW","Tractors specially designed to drag logs (log skidders), with an engine power exceeding 75 kW, but not exceeding 130 kW"
87019490,11,870194,3460,3460,3,72249,110,2000,2821,1009,"Outros tratores, com uma potencia de motor superior a 75 kW, mas nao superior a 130 kW","Other tractors with an engine power exceeding 75 kW but not exceeding 130 kW"
87019510,11,870195,3460,3460,3,72249,110,2000,2821,1009,"Tratores especialmente concebidos para arrastar troncos (log skidders), com uma potencia de motor superior a 130 Kw","Tractors specially designed to drag logs (log skidders), with engines of more than 130 Kw"
87019590,11,870195,3460,3460,3,72249,110,2000,2821,1009,"Outros tratores, com uma potencia de motor superior a 130 Kw","Other tractors with an engine power exceeding 130 kW"
87022000,11,870220,3635,3635,3,78311,120,2000,2910,1007,"Veiculos automoveis para transporte de dez pessoas ou mais, incluindo o motorista, equipados para propulsao, simultaneamente, com um motor de pistao de igniçao por compressao (diesel ou semidiesel) e um motor eletrico","Vehicles for the transport of ten or more persons, including the driver, equipped for propulsion simultaneously with a compression-ignition internal combustion piston engine (diesel or semi-diesel) and an electric motor"
87023000,11,870230,3635,3635,3,78319,120,2000,2910,1007,"Veiculos automoveis para transporte de dez pessoas ou mais, incluindo o motorista, equipados para propulsao, simultaneamente, com um motor de pistao alternativo de igniçao por centelha (faisca) e um motor eletrico","Vehicles for the transport of ten or more persons, including the driver, equipped for propulsion simultaneously with a reciprocating piston engine spark ignition and an electric motor"
87024010,11,870240,3635,3635,3,78319,120,2000,2910,1007,"Trolebus","Trolleybus"
87024090,11,870240,3635,3635,3,78319,120,2000,2910,1007,"Outros veiculos automoveis para transporte de dez pessoas ou mais, incluindo o motorista, unicamente com motor eletrico para propulsao","Other motor vehicles for the transport of ten or more persons, including the driver, only with electric motor for propulsion"
87029000,11,870290,3635,3635,3,78319,120,2000,2910,1007,"Outros veiculos automoveis para transporte de dez pessoas ou mais, incluindo o motorista","Other motor vehicles for the transport of ten or more persons, including the driver"
